SubhaloID_z0,IndependenceSnap
57,93
117312,84
153,88
117282,89
31,38
505586,99
96811,64
43,83
63923,46
208841,88
411450,53
63938,58
294880,56
504559,99
184937,54
96799,97
63935,59
220607,35
515297,95
208833,83
63919,75
51,56
408538,75
294877,58
143892,64
9,74
96784,78
398786,69
516102,75
352429,96
375079,86
264901,50
294876,83
454173,91
477328,99
482155,99
229941,61
444136,83
143907,53
338452,80
63941,66
63915,85
345873,65
414920,88
459561,91
495452,84
117278,56
93,81
468591,95
368848,80
422757,70
479943,74
329514,92
264885,63
375076,66
435755,70
345878,89
464165,53
229947,92
143927,76
167416,80
313699,84
503987,99
282780,70
229959,97
486046,99
499024,63
96783,49
63952,98
117313,98
63920,71
1,63
10,62
220611,91
289391,72
313694,62
499022,81
434359,72
63880,36
511303,99
501725,99
63932,92
421556,63
473331,62
167419,95
184960,98
253871,70
167429,91
167426,56
253882,81
485057,76
143920,89
408536,90
167436,96
523548,99
96818,96
184948,56
63891,35
342451,92
503437,99
96798,41
27,57
506153,97
83,87
253876,98
56,78
117261,47
511920,99
496788,99
143930,64
487744,77
117295,82
220615,95
143905,84
184934,52
487746,88
427214,70
476266,99
375077,50
488531,90
505100,99
429473,58
117317,97
46,60
358613,64
514274,79
63916,82
379806,78
63922,96
264895,76
229949,93
143915,97
253867,91
333438,95
229946,56
63930,68
33,55
490814,99
494711,64
38,33
355732,65
416716,70
167439,87
458473,91
489206,99
300910,94
358611,77
333432,53
382217,70
307493,95
490082,96
485061,84
494012,95
48,89
419626,78
398788,81
107,73
514272,99
52,50
333431,71
402560,60
117277,67
338449,95
85,93
96776,46
143911,94
398785,87
289393,93
515296,99
501210,92
517272,89
22,75
477332,86
88,96
333435,84
294875,64
517273,78
517899,99
264900,87
229945,74
167417,88
481430,63
143929,78
501727,71
444137,69
96767,53
184949,52
50,28
63918,89
61,54
117293,84
63887,71
198186,64
208821,35
509709,99
117316,76
143921,39
96764,76
506151,99
282791,71
117321,90
34,66
418337,71
294874,46
96817,97
430870,52
229951,52
473330,95
289396,91
338450,55
96775,90
89,84
208840,78
63884,42
338451,89
143924,79
117274,47
441710,78
494011,99
388549,75
220614,59
511304,78
208835,90
490815,59
167412,49
477335,78
282788,58
167399,62
229944,59
96769,46
313697,74
517274,96
117309,78
313701,96
253870,93
475016,99
96796,82
63886,41
62,85
516101,99
362999,65
425720,63
289399,87
96809,44
184953,57
167404,88
49,78
480802,52
6,46
289392,56
132,93
494712,89
167405,72
229938,41
324134,69
513845,99
518682,99
275552,69
63956,67
485059,71
516103,97
96766,53
363002,89
479938,99
143891,87
96813,95
459558,99
517271,99
264891,64
404818,67
220610,54
475620,95
143909,97
208816,58
375078,79
63927,59
307489,97
220601,59
499705,98
102,81
167407,51
63902,72
410038,72
289388,52
63934,61
275554,81
333437,92
511305,95
198191,87
130,84
275550,37
63885,42
396634,94
55,34
123,87
64,29
348907,73
329515,90
430868,96
110,81
242803,69
495451,99
143912,69
394623,86
475619,99
472549,52
69,93
117305,89
476267,75
368846,51
117276,75
23,84
96815,53
404821,86
450918,85
345877,61
24,72
63924,81
498522,99
242801,83
360927,62
242795,68
282781,75
253877,70
198199,81
208829,77
63897,76
198192,70
360929,69
184956,98
491426,99
143904,61
117252,69
294871,58
198189,81
478219,93
96787,98
489208,79
96789,98
220603,55
63904,59
96800,35
505101,79
264889,69
264894,83
143899,62
96781,52
408537,92
348904,71
506152,49
502371,99
478220,79
208836,93
39,63
510585,99
81,97
117289,52
143900,48
167432,59
36,26
264899,92
220606,44
253872,42
96797,91
300909,55
167410,57
307497,98
99,89
75,93
494713,73
20,58
208823,89
220605,42
14,59
465257,97
386275,77
